Month,Hour,Zone_CAPITL,Zone_CENTRL,Zone_DUNWOD,Zone_GENESE,Zone_HUD VL,Zone_LONGIL,Zone_MHK VL,Zone_MILLWD,Zone_N.Y.C.,Zone_NORTH,Zone_WEST,RTD Actual Load
1,22,False,False,False,True,False,False,False,False,False,False,False,1088.456415775401
1,22,False,False,True,False,False,False,False,False,False,False,False,613.8264590909091
1,22,False,True,False,False,False,False,False,False,False,False,False,1807.8665136363636
1,22,True,False,False,False,False,False,False,False,False,False,False,1330.1878336898396
1,23,False,False,False,False,False,False,False,False,False,False,True,1638.161937994723
1,23,False,False,False,False,False,False,False,False,False,True,False,721.6081970976254
1,23,False,False,False,False,False,False,False,False,True,False,False,4896.499239841689
1,23,False,False,False,False,False,False,False,True,False,False,False,285.3192461741425
1,23,False,False,False,False,False,False,True,False,False,False,False,854.3806799472295
1,23,False,False,False,False,False,True,False,False,False,False,False,1952.292357519789
1,23,False,False,False,False,True,False,False,False,False,False,False,1025.250762005277
1,23,False,False,False,True,False,False,False,False,False,False,False,1036.0512841688655
1,23,False,False,True,False,False,False,False,False,False,False,False,570.7837485488127
1,23,False,True,False,False,False,False,False,False,False,False,False,1736.3726150395778
1,23,True,False,False,False,False,False,False,False,False,False,False,1255.9331583113458
2,0,False,False,False,False,False,False,False,False,False,False,True,1584.9944826704545
2,0,False,False,False,False,False,False,False,False,False,True,False,718.5754758522727
2,0,False,False,False,False,False,False,False,False,True,False,False,4720.442913068182
2,0,False,False,False,False,False,False,False,True,False,False,False,283.4271721590909
2,0,False,False,False,False,False,False,True,False,False,False,False,849.6785258522727
2,0,False,False,False,False,False,True,False,False,False,False,False,1878.1307795454545
2,0,False,False,False,False,True,False,False,False,False,False,False,1000.7804678977274
2,0,False,False,False,True,False,False,False,False,False,False,False,1012.7217911931817
2,0,False,False,True,False,False,False,False,False,False,False,False,554.7042301136363
2,0,False,True,False,False,False,False,False,False,False,False,False,1692.4266497159092
2,0,True,False,False,False,False,False,False,False,False,False,False,1243.2964431818182
2,1,False,False,False,False,False,False,False,False,False,False,True,1553.3965325581396
2,1,False,False,False,False,False,False,False,False,False,True,False,715.2303252906977
2,1,False,False,False,False,False,False,False,False,True,False,False,4547.50972122093
2,1,False,False,False,False,False,False,False,True,False,False,False,276.5301587209302
2,1,False,False,False,False,False,False,True,False,False,False,False,833.5613726744185
2,1,False,False,False,False,False,True,False,False,False,False,False,1809.923244767442
2,1,False,False,False,False,True,False,False,False,False,False,False,974.6185944767442
2,1,False,False,False,True,False,False,False,False,False,False,False,990.9527247093023
2,1,False,False,True,False,False,False,False,False,False,False,False,540.0812000000001
2,1,False,True,False,False,False,False,False,False,False,False,False,1665.5919308139535
2,1,True,False,False,False,False,False,False,False,False,False,False,1219.3519194767441
2,2,False,False,False,False,False,False,False,False,False,False,True,1535.9559885964914
